"PartID","Description","Category","Value","Symbol","Footprint","Distributor","Distributor Part#","Manufacturer","Manufacturer Part#","Package","Capacitance","Voltage","Material","Tolerance","Stock","Datasheet"
"C364246","50V 0.75pF NP0 0201  Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS","Capacitor","0.75pF","symbol:C0402","footprint:C0201","LCSC","C364246","Walsin Tech Corp","0201NR75C500LT","C0201","0.75pF","50V","NP0","","8100","https://datasheet.lcsc.com/lcsc/2304140030_Walsin-Tech-Corp-0201NR75C500LT_C364246.pdf"
"C505499","6.3V 220nF X5R ±10% 0201  Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS","Capacitor","220nF","symbol:C0402","footprint:C0201","LCSC","C505499","YAGEO","CC0201KRX5R5BB224","C0201","220nF","6.3V","X5R","±10%","8100","https://datasheet.lcsc.com/lcsc/2003312211_YAGEO-CC0201KRX5R5BB224_C505499.pdf"
"C307394","10V 6.8nF X7R ±10% 0201  Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS","Capacitor","6.8nF","symbol:C0402","footprint:C0201","LCSC","C307394","Samsung Electro-Mechanics","CL03B682KP3NNNC","C0201","6.8nF","10V","X7R","±10%","8250","https://datasheet.lcsc.com/lcsc/2304140030_Samsung-Electro-Mechanics-CL03B682KP3NNNC_C307394.pdf"
"C415409","50V 1.2pF C0G 0201  Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS","Capacitor","1.2pF","symbol:C0402","footprint:C0201","LCSC","C415409","Murata Electronics","GJM0335C1H1R2BB01D","C0201","1.2pF","50V","C0G","","8250","https://datasheet.lcsc.com/lcsc/2304140030_Murata-Electronics-GJM0335C1H1R2BB01D_C415409.pdf"
"C384823","50V 9pF NP0 0201  Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS","Capacitor","9pF","symbol:C0402","footprint:C0201","LCSC","C384823","Walsin Tech Corp","0201N9R0D500CT","C0201","9pF","50V","NP0","","8200","https://datasheet.lcsc.com/lcsc/2304140030_Walsin-Tech-Corp-0201N9R0D500CT_C384823.pdf"
"C364245","50V 9pF NP0 0201  Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS","Capacitor","9pF","symbol:C0402","footprint:C0201","LCSC","C364245","Walsin Tech Corp","0201N9R0D500LT","C0201","9pF","50V","NP0","","8000","https://datasheet.lcsc.com/lcsc/2304140030_Walsin-Tech-Corp-0201N9R0D500LT_C364245.pdf"
"C2173663","50V 8.2pF C0G 0201  Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS","Capacitor","8.2pF","symbol:C0402","footprint:C0201","LCSC","C2173663","Taiyo Yuden","UMK063CG8R2DTHF","C0201","8.2pF","50V","C0G","","8000","https://datasheet.lcsc.com/lcsc/2309051400_Taiyo-Yuden-UMK063CG8R2DTHF_C2173663.pdf"
"C565529","16V 2.2nF X7R ±10% 0201  Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS","Capacitor","2.2nF","symbol:C0402","footprint:C0201","LCSC","C565529","PSA(Prosperity Dielectrics)","FN03X222K160PLG","C0201","2.2nF","16V","X7R","±10%","8000",""
"C301909","25V 3.3pF C0G 0201  Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS","Capacitor","3.3pF","symbol:C0402","footprint:C0201","LCSC","C301909","FH (Guangdong Fenghua Advanced Tech)","0201CG3R3C250NT","C0201","3.3pF","25V","C0G","","8000","https://datasheet.lcsc.com/lcsc/2304140030_FH--Guangdong-Fenghua-Advanced-Tech-0201CG3R3C250NT_C301909.pdf"
"C301893","25V 10nF X7R ±20% 0201  Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS","Capacitor","10nF","symbol:C0402","footprint:C0201","LCSC","C301893","FH (Guangdong Fenghua Advanced Tech)","0201B103M250NT","C0201","10nF","25V","X7R","±20%","7700","https://datasheet.lcsc.com/lcsc/2304140030_FH--Guangdong-Fenghua-Advanced-Tech-0201B103M250NT_C301893.pdf"
